"","unique_id","citekey","journal","stimulus_genre","model_category","stimulus_n","feature_n","participant_n","feature_source","feature_reduction_method","library_id","model_id","feature_id","data_id","experiment_id","dimension","measure","statistic","values","studyREF","model_class_id","stimulus_genre_mixed","journal_type","accuracy_converted_to_mcc","feature_n_complexity"
"1","agarwal2021an-notspecified-SVRKMBSO-feature-ismir2012-song","agarwal2021an","   IET Signal Processing"," popular, hindi  ","classification",4700,600," NA (tags)  "," not specified  "," KMBSO  ","not specified","svr kmbso","feature","ismir2012","song","classification","mcc","acc",0.983013331151751,"Agarwal et al 2021","Flexible Discriminants","MultiGenre","Engineering",0,"Feature n > 300"
"2","agarwal2021an-notspecified-SVRKMBSO-feature-ismir2012-karaoke","agarwal2021an","   IET Signal Processing"," popular, hindi  ","classification",4700,600," NA (tags)  "," not specified  "," KMBSO  ","not specified","svr kmbso","feature","ismir2012","karaoke","classification","mcc","acc",0.965021820787903,"Agarwal et al 2021","Flexible Discriminants","MultiGenre","Engineering",0,"Feature n > 300"
"3","agarwal2021an-notspecified-SVRKMBSO-feature-ismir2012-lyrics","agarwal2021an","   IET Signal Processing"," popular, hindi  ","classification",4700,600," NA (tags)  "," not specified  "," KMBSO  ","not specified","svr kmbso","feature","ismir2012","lyrics","classification","mcc","acc",0.962385126989241,"Agarwal et al 2021","Flexible Discriminants","MultiGenre","Engineering",0,"Feature n > 300"
"4","agarwal2021an-notspecified-SVRKMBSO-feature-nju-v1-song","agarwal2021an","   IET Signal Processing"," popular, hindi  ","classification",4700,600," NA (tags)  "," not specified  "," KMBSO  ","not specified","svr kmbso","feature","nju-v1","song","classification","mcc","acc",0.971709584787791,"Agarwal et al 2021","Flexible Discriminants","MultiGenre","Engineering",0,"Feature n > 300"
"5","agarwal2021an-notspecified-SVRKMBSO-feature-nju-v1-karaoke","agarwal2021an","   IET Signal Processing"," popular, hindi  ","classification",4700,600," NA (tags)  "," not specified  "," KMBSO  ","not specified","svr kmbso","feature","nju-v1","karaoke","classification","mcc","acc",0.954731876085514,"Agarwal et al 2021","Flexible Discriminants","MultiGenre","Engineering",0,"Feature n > 300"
"6","agarwal2021an-notspecified-SVRKMBSO-feature-nju-v1-lyrics","agarwal2021an","   IET Signal Processing"," popular, hindi  ","classification",4700,600," NA (tags)  "," not specified  "," KMBSO  ","not specified","svr kmbso","feature","nju-v1","lyrics","classification","mcc","acc",0.942343695267651,"Agarwal et al 2021","Flexible Discriminants","MultiGenre","Engineering",0,"Feature n > 300"
"7","agarwal2021an-notspecified-SVRKMBSO-feature-hindi-song","agarwal2021an","   IET Signal Processing"," popular, hindi  ","classification",4700,600," NA (tags)  "," not specified  "," KMBSO  ","not specified","svr kmbso","feature","hindi","song","classification","mcc","acc",0.9653919914767,"Agarwal et al 2021","Flexible Discriminants","MultiGenre","Engineering",0,"Feature n > 300"
"8","agarwal2021an-notspecified-SVRKMBSO-feature-hindi-karaoke","agarwal2021an","   IET Signal Processing"," popular, hindi  ","classification",4700,600," NA (tags)  "," not specified  "," KMBSO  ","not specified","svr kmbso","feature","hindi","karaoke","classification","mcc","acc",0.938428251292645,"Agarwal et al 2021","Flexible Discriminants","MultiGenre","Engineering",0,"Feature n > 300"
"9","agarwal2021an-notspecified-SVRKMBSO-feature-hindi-lyrics","agarwal2021an","   IET Signal Processing"," popular, hindi  ","classification",4700,600," NA (tags)  "," not specified  "," KMBSO  ","not specified","svr kmbso","feature","hindi","lyrics","classification","mcc","acc",0.919153136753773,"Agarwal et al 2021","Flexible Discriminants","MultiGenre","Engineering",0,"Feature n > 300"
"10","alvarez2023ri-spotify-randomforest-spotify-spotify-modelcomparison","alvarez2023ri","   International Journal of Interactive Multimedia and Artificial Intelligence"," multi  ","classification",5192,10," 25  "," Spotify API  "," expert validation  ","spotify","random forest","spotify","spotify","model comparison","classification","mcc","acc",0.931672888789692,"Alvarez et al 2023","Random Forests","MultiGenre","Engineering",0,"Feature n < 30"
