"","dimension","citekey","valuesMean","valuesMedian","valuesMax","stimulus_n","studyREF","feature_n","journal_type","feature_n_complexity","stimulus_genre_mixed","model_class_id"
"1","classification","agarwal2021an",0.955797646065885,0.962385126989241,0.983013331151751,4700,"Agarwal et al 2021",98,"Engineering","Feature n > 30 & < 300","MultiGenre","Support Vector Machines"
"2","classification","alvarez2023ri",0.828211444394846,0.828211444394846,0.931672888789692,5192,"Alvarez et al 2023",10,"Engineering","Feature n < 30","MultiGenre","Tree-based Methods"
"3","classification","bhuvanakumar2023em",0.874704497517669,0.871930274315607,0.966090557283397,387,"Bhuvanakumar et al 2023",6,"Engineering","Feature n < 30","SingleGenre","Neural Nets"
"4","classification","dufour2021us",0.492463892351757,0.507715606869014,0.546719382625914,564,"Dufour et al 2021",126,"Engineering","Feature n > 30 & < 300","MultiGenre","Linear Methods"
"5","classification","hizlisoy2021mu",0.88705,0.883,0.9274,124,"Hizlisoy et al 2021",8904,"Engineering","Feature n > 300","SingleGenre","Neural Nets"
"6","classification","hu2022de",0.64285,0.64285,0.6551,956,"Hu et al 2022",231,"Engineering","Feature n > 30 & < 300","MultiGenre","Support Vector Machines"
"7","classification","nguyen2017an",0.56521335176247,0.56521335176247,0.56521335176247,300,"Nguyen et al 2017",397,"Engineering","Feature n > 300","SingleGenre","Tree-based Methods"
"8","classification","panda2020no",0.682215557901726,0.682215557901726,0.682215557901726,900,"Panda et al 2020",1702,"Engineering","Feature n > 300","MultiGenre","Support Vector Machines"
"9","classification","sorussa2020em",0.509707164744315,0.419653883220149,0.868112240363145,1802,"Sorussa et al 2020",122,"Engineering","Feature n > 30 & < 300","MultiGenre","Neural Nets"
"10","classification","yeh2014po",0.741291969684034,0.741291969684034,0.929699323983453,429,"Yeh et al 2014",11,"Engineering","Feature n < 30","SingleGenre","Tree-based Methods"
"11","classification","zhang2016br",0.710944444444444,0.717,0.8,171,"Zhang et al 2016",119,"Engineering","Feature n > 30 & < 300","SingleGenre","Tree-based Methods"
"12","classification","zhang2017fe",0.806625,0.8,0.846,171,"Zhang et al 2017",8,"Engineering","Feature n < 30","SingleGenre","Linear Methods"
