"","citekey","paradigm","notes_ca ","notes_te ","emotions ","emotion_locus ","stimulus_type ","stimulus_duration ","stimulus_duration_unit ","stimulus_n ","feature_n ","participant_n ","participant_expertise ","participant_origin","participant_sampling","participant_task","feature_categories","feature_source","feature_reduction_method","model_category","model_detail","model_measure","model_complexity_parameters","model_rate_emotion_names","model_rate_emotion_values","model_validation"
"1","agarwal2021an"," classification  "," include, classification  "," include, classification  "," discrete  "," not specified  "," Hindi music, English music (from ISMIR2012, NJU_V1, and Hindi datasets)  "," not specified  "," not specified  "," c('ISMIR2012' = 2886, 'NJU_V1' = 777, 'Hindi' = 1037)  ","   "," not specified  "," not specified  "," not specified  "," not specified  "," rating  "," Timbre, Rhythm, Dynamic, Harmony, Lyric  "," not specified  "," KMBSO  "," classification "," SVR, KMBSO "," classification accuracy, precision, sensitivity, specificity, false positive rate, F1, error  ","    "," c('happy', 'angry', 'relax', 'sad')  "," rbind(hindi = c('song' = 97.57, 'karaoke' = 95.63, 'lyrics' = 94.17),  ismir2012 = c('song' = 98.79, 'karaoke' = 97.4, 'lyrics' = 97.23), nju = c('song' =  97.88, 'karaoke' =  96.82, 'lyrics' = 95.76))  ","  five-fold cross-validation} }"
"2","alvarez2023ri"," classification  "," include, classification task  "," include, classification, spotify  "," discrete  "," not specified  "," Spotify  "," 150 approx  "," seconds "," 12 "," 10  "," 25  "," 'not specified'  "," 'not specified'  "," 'not specified'  "," 'classification'  "," timbre,  dynamic, high-level, expressivity  "," Spotify API  "," expert validation  "," classification  "," SVR, KNN, RF  "," classification accuracy, f1, precision, recall ","    "," c('excited', 'cheerful', 'tense', 'irritated', 'sad', 'bored', 'relaxed', 'calm', 'dont know') "," rbind('random forest' = c('happy' = 0.844, 'angry' = 0.899, 'sad' = 0.862, 'relaxed' = 0.945), 'knn'= c(0.822, 0.824, 0.862, 0.945), 'svm' = c(0.767, 0.872, 0.8036, 0.929), 'validation' = c(0.694, 0.705, 0.771, 0.729))  ","  Repeated five-fold cross validation, AcousticBrainz} "
"3","bai2017mu"," classification  "," include, classification  "," include, classification, quality issues?  "," valence, arousal  "," perceived  "," MediaEval  "," 45  "," s  "," 744  "," 548 "," specified elsewhere  "," specified elsewhere  "," specified elsewhere  "," specified elsewhere  "," specified elsewhere  "," rhythm, tonality, timbre, pitch, melody,   "," Daubechies, Sound Description Toolbox, MIRToolbox  "," none  "," classification  "," SVM, KNN, Neuro-fuzzy networks, fuzzy KNN, Bayes classifier, LDA  ","   "," c(SVM = 'kernel function = radial basis function',    KNN = 'K = 8', FKNN = 'fuzzy_function = Gaussian', NFNC = 'back propogation, gradient descent')  "," pleasing, angry, sad, calm  "," average_accuracy = c(KNN = .62, Bayes = .69, LDA = .804, NFNC = .793, FKNN = .83, SVM = .827)  ","  10 repetitions} }"
"4","bhuvanakumar2023em"," classification  "," include, quadrant classification  "," include, midi, classification  "," quadrants  "," not specified  "," pop piano recordings "," not specified  "," not specified  ","  not specified  "," not specified "," not specified  "," not specified  "," not specified  "," not specified  "," not specified  "," harmony, dynamic, rhythm "," PrettyMIDI  "," NA  "," classification  "," enhanced residual gated recurrent unit  "," accuracy, precision, recall, F score  ","    "," positive-high, positive-low, negative-high, negative-low  ","  rbind(   'rgru_positive_high_proposed' = c('H' = 157, 'M' = 2, 'FP' = 1, 'CR' = 120),   'gru_positive_high' = c(143, 5, 3, 99),   'ltsm_positive_high' = c(132, 10, 8, 110),   'dnn_positive_high' = c(117,13,10,110),   'rgru_positive_low_proposed' = c(130,2,1,120),   'gru_positive_low' = c(124,7,3,119),   'ltsm_positive_low' = c(120,10,8,115),   'dnn_positive_low' = c(120,13,10,110),   'rgru_negative_high_proposed' = c(184,3,3,120),   'gru_negative_high' = c(187,8,5,110),   'ltsm_negative_high' = c(162,18,10,120),   'dnn_negative_high' = c(145,25,10,130),   'rgru_negative_low_proposed' = c(169,3,3,90),   'gru_negative_low' = c(162,8,5,90),   'ltsm_negative_low' = c(136,19,10,100),   'dnn_negative_low' = c(121,19,15,110) )  ","  not reported} }"
"5","dufour2021us",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"6","feng2024ex"," classification  "," include, classification task  "," include, classification  ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","      DISCUSS = T} "
"7","hizlisoy2021mu"," classification  "," include, classification  "," include, classification  "," valence, arousal  "," perceived  "," Turkish traditional music  "," 30  "," s  "," 124  "," 8904 "," 21  "," university students highly knowledgable about Turkish music  "," Turkey  "," convenience "," rate  "," standard_features = 7368, MFCC = 768, log-mel_filterbank = 768 "," OpenSMILE, MIRToolbox, MFCC, log-mel filterbank energies  "," Correlation-based Feature Selection. Adaptive-moment estimation optimizer  "," classification  "," support vector machine, k-nearest neighbours, randomforest, Long Short-Term Memory-Deep Neural Network  "," accuracy, f_measure, precision, recall  "," c(n_layers = 4, n_filters = c(64, 128, 128, 128),   ADAM_learning_Rate = 1e-04, training_batch_n = 10, training_epochs = 100, loss_function - 'categorical cross-entropy')  "," Quadrant 1, Quadrant 2, Quadrant 3  ","KNN = rbind(     full_feature_set = c(accuracy = 83.87, f_measure = 0.839, precision = 0.840, recall = 0.839),     correlation_feature_selection = c(accuracy = 89.51, f_measure = 0.904, precision = 0.919, recall = 0.895)   )  ","  10-fold cross validation}  DISCUSS = T} "
"7.1","hizlisoy2021mu"," classification  "," include, classification  "," include, classification  "," valence, arousal  "," perceived  "," Turkish traditional music  "," 30  "," s  "," 124  "," 8904 "," 21  "," university students highly knowledgable about Turkish music  "," Turkey  "," convenience "," rate  "," standard_features = 7368, MFCC = 768, log-mel_filterbank = 768 "," OpenSMILE, MIRToolbox, MFCC, log-mel filterbank energies  "," Correlation-based Feature Selection. Adaptive-moment estimation optimizer  "," classification  "," support vector machine, k-nearest neighbours, randomforest, Long Short-Term Memory-Deep Neural Network  "," accuracy, f_measure, precision, recall  "," c(n_layers = 4, n_filters = c(64, 128, 128, 128),   ADAM_learning_Rate = 1e-04, training_batch_n = 10, training_epochs = 100, loss_function - 'categorical cross-entropy')  "," Quadrant 1, Quadrant 2, Quadrant 3  ","RANDOMFOREST = rbind(     full_feature_set = c(accuracy = 87.09, f_measure = 0.843, precision = 0.844, recall = 0.871),     correlation_feature_selection = c(accuracy = 91.93, f_measure = 0.918, precision = 0.917, recall = 0.919)   )  ","  10-fold cross validation}  DISCUSS = T} "
"7.2","hizlisoy2021mu"," classification  "," include, classification  "," include, classification  "," valence, arousal  "," perceived  "," Turkish traditional music  "," 30  "," s  "," 124  "," 8904 "," 21  "," university students highly knowledgable about Turkish music  "," Turkey  "," convenience "," rate  "," standard_features = 7368, MFCC = 768, log-mel_filterbank = 768 "," OpenSMILE, MIRToolbox, MFCC, log-mel filterbank energies  "," Correlation-based Feature Selection. Adaptive-moment estimation optimizer  "," classification  "," support vector machine, k-nearest neighbours, randomforest, Long Short-Term Memory-Deep Neural Network  "," accuracy, f_measure, precision, recall  "," c(n_layers = 4, n_filters = c(64, 128, 128, 128),   ADAM_learning_Rate = 1e-04, training_batch_n = 10, training_epochs = 100, loss_function - 'categorical cross-entropy')  "," Quadrant 1, Quadrant 2, Quadrant 3  ","SVM = rbind(     full_feature_set = c(accuracy = 87.09, f_measure = 0.866, precision = 0.862, recall = 0.871),     correlation_feature_selection = c(accuracy = 90.32, f_measure = 0.905, precision = 0.907, recall = 0.903)   )  ","  10-fold cross validation}  DISCUSS = T} "
"7.3","hizlisoy2021mu"," classification  "," include, classification  "," include, classification  "," valence, arousal  "," perceived  "," Turkish traditional music  "," 30  "," s  "," 124  "," 8904 "," 21  "," university students highly knowledgable about Turkish music  "," Turkey  "," convenience "," rate  "," standard_features = 7368, MFCC = 768, log-mel_filterbank = 768 "," OpenSMILE, MIRToolbox, MFCC, log-mel filterbank energies  "," Correlation-based Feature Selection. Adaptive-moment estimation optimizer  "," classification  "," support vector machine, k-nearest neighbours, randomforest, Long Short-Term Memory-Deep Neural Network  "," accuracy, f_measure, precision, recall  "," c(n_layers = 4, n_filters = c(64, 128, 128, 128),   ADAM_learning_Rate = 1e-04, training_batch_n = 10, training_epochs = 100, loss_function - 'categorical cross-entropy')  "," Quadrant 1, Quadrant 2, Quadrant 3  ","LSTMDNN = rbind(     full_feature_set = c(accuracy = 87.09, f_measure = 0.864, precision = 0.861, recall = 0.871),     correlation_feature_selection = c(accuracy = 92.74, f_measure = 0.926, precision = 0.925, recall = 0.927)   )   ","  10-fold cross validation}  DISCUSS = T} "
